URL,Scraper,Duration,Result
http://www.cencoex.gob.ve/,Trafilatura,3.01001096,None
http://esdata.info/,Trafilatura,6.250253201,None
http://fncancer.org.ve/,Trafilatura,6.210994005,Success
http://fncancer.org.ve/,Beautiful Soup,5.251744747,Error
https://vesinfiltro.com/,Beautiful Soup,5.059265852,Error
http://www.cencoex.gob.ve/,Beautiful Soup,5.017541885,Error
http://esdata.info/,Beautiful Soup,5.016711235,Error
https://informe21.com/,Beautiful Soup,4.892364979,Success
http://nmidigital.com/,Trafilatura,4.290062904,Success
http://www.observatoriodeconflictos.org.ve/,Trafilatura,3.918808222,Success
https://informe21.com/,Trafilatura,3.789753914,Success
https://vesinfiltro.com/,Trafilatura,3.015604973,None
http://www.asambleanacional.gob.ve/,Trafilatura,2.889327049,Success
http://www.orinoco.org/,Trafilatura,2.843040943,Success
https://www.mercado.com.ve/,Trafilatura,2.764585972,Success
http://www.correodelorinoco.gob.ve/,Trafilatura,2.741709709,Success
https://www.panfletonegro.com/,Beautiful Soup,2.714114666,Success
https://prensapcv.wordpress.com/,Trafilatura,2.68641305,Success
https://www.fedecamaras.org.ve/,Trafilatura,2.673964977,Success
https://caiv.org/,Trafilatura,2.64597702,Success
http://opinionynoticias.com/,Trafilatura,2.645864964,Success
http://complotmagazine.com/,Trafilatura,2.62729907,Success
https://www.fedecamaras.org.ve/,Beautiful Soup,2.530993223,Success
http://orvex.org/,Beautiful Soup,2.417303085,Error
http://www.ultimasnoticias.com.ve/,Trafilatura,2.358131886,Success
http://oveprisiones.org/,Trafilatura,2.314730883,Success
http://correodelcaroni.com/,Trafilatura,2.202031851,Success
https://foropenal.com/,Trafilatura,2.174037933,Success
http://www.orinoco.org/,Beautiful Soup,2.154212952,Success
https://www.telemundo.com/,Trafilatura,1.98562789,Success
https://caiv.org/,Beautiful Soup,1.957246065,Success
https://foropenal.com/,Beautiful Soup,1.942091942,Success
http://correodelcaroni.com/,Beautiful Soup,1.936042786,Success
http://www.pdv.com/,Trafilatura,1.91933322,Success
http://luchadeclases.org.ve/,Trafilatura,1.865538836,Success
http://www.venezuelaawareness.com/,Trafilatura,1.829195023,Success
https://sinmordaza.org/,Trafilatura,1.788715839,Success
https://elperiodicovenezolano.com/,Trafilatura,1.761439085,Success
http://www.observatoriodeconflictos.org.ve/,Beautiful Soup,1.700251341,Success
http://opinionynoticias.com/,Beautiful Soup,1.67217803,Success
http://www.ultimasnoticias.com.ve/,Beautiful Soup,1.646045923,Success
http://orvex.org/,Trafilatura,1.634778261,None
http://www.pdv.com/,Beautiful Soup,1.610301018,Success
https://www.fundacionreflejosdevenezuela.com/,Trafilatura,1.59236908,Success
https://elperiodicovenezolano.com/,Beautiful Soup,1.575679064,Success
https://plafam.org.ve/,Trafilatura,1.568971872,Success
http://confirmado.com.ve/,Trafilatura,1.510910034,Success
http://www.controlciudadano.org/,Trafilatura,1.490591049,Success
https://prensapcv.wordpress.com/,Beautiful Soup,1.483786106,Success
http://vcrisis.com/,Trafilatura,1.439766169,Success
https://sinmordaza.org/,Beautiful Soup,1.390369177,Success
http://urru.org/,Trafilatura,1.369168758,Success
https://globovision.com/,Trafilatura,1.338906765,Success
